Florida,"$63,062","$59,227","$55,462","$52,594","$50,860","$49,426","$47,463","$46,036","$45,040","$44,299","$44,409",3.25%
Indiana,"$62,743","$57,603","$55,746","$54,181","$52,314","$50,532","$49,446","$47,529","$46,974","$46,438","$44,613",3.15%
Ohio,"$62,262","$58,642","$56,111","$54,021","$52,344","$51,075","$49,308","$48,081","$46,829","$45,749","$45,090",2.98%
North Carolina,"$61,972","$57,341","$53,855","$52,752","$50,584","$47,830","$46,556","$45,906","$45,150","$43,916","$43,326",3.32%
Missouri,"$61,847","$57,409","$54,478","$53,578","$51,746","$50,238","$48,363","$46,931","$45,321","$45,247","$44,301",3.09%
Tennessee,"$59,695","$56,071","$52,375","$51,340","$48,547","$47,275","$44,361","$44,297","$42,764","$41,693","$41,461",3.39%
South Carolina,"$59,318","$56,227","$52,306","$50,570","$49,501","$47,238","$45,238","$44,163","$43,107","$42,367","$42,018",3.20%
Oklahoma,"$55,826","$54,449","$51,924","$50,051","$49,176","$48,568","$47,529","$45,690","$44,312","$43,225","$42,072",2.61%
Kentucky,"$55,573","$52,295","$50,247","$48,375","$46,659","$45,215","$42,958","$43,399","$41,724","$41,141","$40,062",3.03%
New Mexico,"$53,992","$51,945","$47,169","$46,744","$46,748","$45,382","$44,803","$43,872","$42,558","$41,963","$42,090",2.32%
Alabama,"$53,913","$51,734","$49,861","$48,123","$46,257","$44,765","$42,830","$42,849","$41,574","$41,415","$40,474",2.65%
Arkansas,"$52,528","$48,952","$47,062","$45,869","$44,334","$41,995","$41,262","$40,511","$40,112","$38,758","$38,307",2.92%
Louisiana,"$52,087","$51,073","$47,905","$46,145","$45,146","$45,727","$44,555","$44,164","$42,944","$41,734","$42,505",1.89%
West Virginia,"$51,248","$48,850","$44,097","$43,469","$43,385","$42,019","$41,059","$41,253","$40,196","$38,482","$38,218",2.74%
Mississippi,"$48,716","$45,792","$44,717","$43,529","$41,754","$40,593","$39,680","$37,963","$37,095","$36,919","$36,851",2.58%
